index,name,team,salaries
1,"Stephen Curry, PG",Golden State Warriors,"$45,780,966 "
2,"James Harden, SG",Brooklyn Nets,"$44,310,840 "
3,"John Wall, PG",Houston Rockets,"$44,310,840 "
4,"Russell Westbrook, PG",Los Angeles Lakers,"$44,211,146 "
5,"Kevin Durant, PF",Brooklyn Nets,"$42,018,900 "
6,"LeBron James, SF",Los Angeles Lakers,"$41,180,544 "
7,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$39,344,970 "
8,"Damian Lillard, PG",Portland Trail Blazers,"$39,344,900 "
9,"Kawhi Leonard, SF",LA Clippers,"$39,344,900 "
10,"Paul George, SG",LA Clippers,"$39,344,900 "
11,"Klay Thompson, SG",Golden State Warriors,"$37,980,720 "
12,"Jimmy Butler, SF",Miami Heat,"$36,016,200 "
13,"Tobias Harris, PF",Philadelphia 76ers,"$35,995,950 "
14,"Khris Middleton, SF",Milwaukee Bucks,"$35,500,000 "
15,"Anthony Davis, PF",Los Angeles Lakers,"$35,361,360 "
16,"Rudy Gobert, C",Utah Jazz,"$35,344,828 "
17,"Kyrie Irving, PG",Brooklyn Nets,"$35,328,700 "
18,"Bradley Beal, SG",Washington Wizards,"$33,724,200 "
19,"Pascal Siakam, PF",Toronto Raptors,"$33,003,936 "
20,"Ben Simmons, PG",Philadelphia 76ers,"$33,003,936 "
21,"Jrue Holiday, PG",Milwaukee Bucks,"$32,413,333 "
22,"Devin Booker, SG",Phoenix Suns,"$31,650,600 "
23,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$31,650,600 "
24,"Kristaps Porzingis, C",Dallas Mavericks,"$31,650,600 "
25,"Joel Embiid, C",Philadelphia 76ers,"$31,579,390 "
26,"Andrew Wiggins, SF",Golden State Warriors,"$31,579,390 "
27,"Nikola Jokic, C",Denver Nuggets,"$31,579,390 "
28,"Kevin Love, PF",Cleveland Cavaliers,"$31,258,256 "
29,"CJ McCollum, SG",Portland Trail Blazers,"$30,864,198 "
30,"D'Angelo Russell, PG",Minnesota Timberwolves,"$30,013,500 "
31,"Chris Paul, PG",Phoenix Suns,"$30,000,000 "
32,"Gordon Hayward, SF",Charlotte Hornets,"$29,925,000 "
33,"Jamal Murray, PG",Denver Nuggets,"$29,467,800 "
34,"Brandon Ingram, SF",New Orleans Pelicans,"$29,467,800 "
35,"De'Aaron Fox, PG",Sacramento Kings,"$28,103,550 "
36,"Donovan Mitchell, SG",Utah Jazz,"$28,103,500 "
37,"Bam Adebayo, C",Miami Heat,"$28,103,500 "
